iter	Logloss
0	0.6072383807
1	0.5520333079
2	0.5043773359
3	0.4689145076
4	0.4345677123
5	0.4077046742
6	0.3856213536
7	0.368762116
8	0.3542797438
9	0.340898023
10	0.3283758385
11	0.3196838612
12	0.309223104
13	0.2992710135
14	0.2924085824
15	0.2874306775
16	0.2807614013
17	0.2746138788
18	0.268843531
19	0.2643031912
20	0.2593619671
21	0.2551367143
22	0.2512857515
23	0.247604636
24	0.2452118585
25	0.2421176372
26	0.2384343708
27	0.2367523358
28	0.2338079134
29	0.2304909163
30	0.2277455469
31	0.2247561204
32	0.2221573551
33	0.2197045475
34	0.21762539
35	0.2159230295
36	0.2148114217
37	0.2130915145
38	0.2112938707
39	0.2093080375
40	0.2070114006
41	0.2047036949
42	0.2023428003
43	0.2011295073
44	0.1997844894
45	0.1980833456
46	0.1961472885
47	0.194895448
48	0.1932826428
49	0.1918009762
50	0.1901636947
51	0.1878296269
52	0.1868286847
53	0.1846092767
54	0.1822948606
55	0.1810383429
56	0.1793687604
57	0.1776842879
58	0.1758186525
59	0.1740947772
60	0.173020691
61	0.1721821601
62	0.1716800785
63	0.1704441701
64	0.1692283102
65	0.1677428059
66	0.1659487591
67	0.1650030226
68	0.1636018495
69	0.1622000605
70	0.1612914935
71	0.1599360012
72	0.1587302507
73	0.1580167469
74	0.1567189714
75	0.1544400466
76	0.1531533101
77	0.1524866205
78	0.1513389515
79	0.1499314436
80	0.1490603108
81	0.1480621511
82	0.1464743366
83	0.1455092482
84	0.144682101
85	0.1439802618
86	0.1430980241
87	0.1417737414
88	0.1408242453
89	0.1401046046
90	0.1392211797
91	0.1376561858
92	0.1365822994
93	0.1358049259
94	0.1350320834
95	0.1334413156
96	0.1322979732
97	0.1311188866
98	0.1303121961
99	0.1293398501
100	0.1279200802
101	0.1264045475
102	0.1253203728
103	0.1241160902
104	0.1233129832
105	0.1226733636
106	0.1217925127
107	0.1210587335
108	0.1202531422
109	0.1189445876
110	0.1178785318
111	0.1172051104
112	0.1163734337
113	0.1151312632
114	0.11430101
115	0.112854767
116	0.1115125444
117	0.1102769359
118	0.109078485
119	0.1082120034
120	0.107492519
121	0.106840283
122	0.1060538022
123	0.1045116498
124	0.103967772
125	0.1025236893
126	0.1014684016
127	0.1005846481
128	0.0997908378
129	0.09925561028
130	0.098735278
131	0.09804157991
132	0.09715516885
133	0.09653100516
134	0.09581860626
135	0.09464821401
136	0.09391395407
137	0.0933843803
138	0.09250970945
139	0.09219306701
140	0.09129658209
141	0.09049093366
142	0.08965277302
143	0.08883168508
144	0.08803749849
145	0.08709625535
146	0.08625704808
147	0.08561339842
148	0.08494092427
149	0.0839475053
