iter	Passed	Remaining
0	3	486
1	5	443
2	8	417
3	11	428
4	14	415
5	17	408
6	19	401
7	22	395
8	25	392
9	27	390
10	30	385
11	33	380
12	35	377
13	38	374
14	41	370
15	43	367
16	46	363
17	49	362
18	52	359
19	54	355
20	57	355
21	60	352
22	62	347
23	65	344
24	68	343
25	71	340
26	73	336
27	76	334
28	79	332
29	82	330
30	85	328
31	88	326
32	90	322
33	93	319
34	96	317
35	99	314
36	102	312
37	105	311
38	108	309
39	111	305
40	113	303
41	117	300
42	119	297
43	122	294
44	125	291
45	127	288
46	130	285
47	134	285
48	136	282
49	139	278
50	142	276
51	145	273
52	147	270
53	150	267
54	153	264
55	155	261
56	158	258
57	161	256
58	164	253
59	166	250
60	169	247
61	172	244
62	175	241
63	177	238
64	180	236
65	183	233
66	186	230
67	189	227
68	192	225
69	195	222
70	197	219
71	200	216
72	202	213
73	205	211
74	208	208
75	211	205
76	213	202
77	216	199
78	218	196
79	222	194
80	224	191
81	227	188
82	230	185
83	232	182
84	235	180
85	239	178
86	242	175
87	245	172
88	248	170
89	251	167
90	253	164
91	256	161
92	259	158
93	261	156
94	264	153
95	268	150
96	271	148
97	273	145
98	276	142
99	279	139
100	282	137
101	285	134
102	287	131
103	290	128
104	292	125
105	296	123
106	299	120
107	302	117
108	305	114
109	312	113
110	331	116
111	336	114
112	344	112
113	346	109
114	349	106
115	352	103
116	355	100
117	358	97
118	360	93
119	363	90
120	366	87
121	369	84
122	371	81
123	374	78
124	377	75
125	380	72
126	383	69
127	386	66
128	388	63
129	391	60
130	394	57
131	397	54
132	399	51
133	402	48
134	405	45
135	407	41
136	410	38
137	413	35
138	416	32
139	419	29
140	422	26
141	425	23
142	427	20
143	430	17
144	433	14
145	436	11
146	438	8
147	441	5
148	444	2
149	447	0
